,Birmingham AL,Anchorage AK,Phoenix AZ,Little Rock AR,Los Angeles CA,Denver CO,Bridgeport CT,Wilmington DW,Washington D.C.,Jacksonville FL,Atlanta GA,Honolulu HI,Boise ID,Chicago IL,Indianapolis IN,Des Moines IA,Wichita KS,Louisville KY,New Orleans LA,Portland ME,Baltimore MD,Boston MA,Detroit MI,Minneapolis MN,Jackson MS,Kansas City MO,Billings MT,Omaha NE,Las Vegas NV,Manchester NH,Newark NJ,Albuquerque NM,New York City NY,Charlotte NC,Fargo ND,Columbus OH,Oklahoma City OK,Portland OR,Philadelphia PA,Providence RI,Charleston SC,Sioux Falls SD,Nashville TN,Houston TX,Salt Lake City UT,Burlington VT,Virginia Beach VA,Seattle WA,Charleston WV,Milwaukee WI,Cheyenne WY
Baltimore MD,780,-1,-1,-1,-1,-1,253,74.5,38.3,751,685,-1,-1,702,578,-1,-1,610,-1,503,0,404,526,-1,-1,-1,-1,-1,-1,442,183,-1,191,445,-1,404,-1,-1,106,372,577,-1,703,-1,-1,478,254,-1,365,792,-1
Boston MA,-1,-1,-1,-1,-1,-1,153,340,440,-1,-1,-1,-1,983,949,-1,-1,982,-1,112,401,0,707,-1,-1,-1,-1,-1,-1,52.6,226,-1,215,845,-1,775,-1,-1,308,51,977,-1,-1,-1,-1,216,577,-1,751,-1,-1
Detroit MI,725,-1,-1,862,-1,-1,674,576,521,-1,722,-1,-1,283,287,600,961,362,-1,805,528,707,0,690,947,764,-1,733,-1,744,605,-1,614,625,923,202,-1,-1,584,700,832,855,535,-1,-1,646,724,-1,361,373,-1
Minneapolis MN,-1,-1,-1,863,-1,913,-1,-1,-1,-1,-1,-1,-1,408,591,244,633,706,-1,-1,-1,-1,694,0,-1,436,840,378,-1,-1,-1,-1,-1,-1,235,764,787,-1,-1,-1,-1,238,882,-1,-1,-1,-1,-1,899,337,809
Jackson MS,237,-1,-1,259,-1,-1,-1,-1,979,592,381,-1,-1,742,673,828,704,587,186,-1,-1,-1,945,-1,0,660,-1,844,-1,-1,-1,-1,-1,626,-1,790,610,-1,-1,-1,686,-1,415,441,-1,-1,962,-1,801,831,-1
Kansas City MO,688,-1,-1,430,-1,603,-1,-1,-1,-1,799,-1,-1,510,482,193,195,506,846,-1,-1,-1,763,437,660,0,-1,185,-1,-1,-1,788,-1,960,602,657,349,-1,-1,-1,-1,363,554,743,-1,-1,-1,-1,751,568,640
Billings MT,-1,-1,-1,-1,-1,551,-1,-1,-1,-1,-1,-1,615,-1,-1,938,-1,-1,-1,-1,-1,-1,-1,838,-1,-1,0,836,971,-1,-1,999,-1,-1,608,-1,-1,893,-1,-1,-1,659,-1,-1,552,-1,-1,820,-1,-1,453
Omaha NE,872,-1,-1,613,-1,539,-1,-1,-1,-1,983,-1,-1,468,611,134,300,690,-1,-1,-1,-1,734,377,844,185,838,0,-1,-1,-1,892,-1,-1,420,782,455,-1,-1,-1,-1,181,738,896,934,-1,-1,-1,917,509,497
Las Vegas NV,-1,-1,302,-1,274,748,-1,-1,-1,-1,-1,-1,624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,968,-1,0,-1,-1,576,-1,-1,-1,-1,-1,971,-1,-1,-1,-1,-1,-1,421,-1,-1,-1,-1,-1,833
Manchester NH,-1,-1,-1,-1,-1,-1,187,374,474,-1,-1,-1,-1,-1,983,-1,-1,-1,-1,94.6,435,52.7,741,-1,-1,-1,-1,-1,-1,0,260,-1,249,879,-1,809,-1,-1,342,103,-1,-1,-1,-1,-1,167,611,-1,785,-1,-1
Newark NJ,952,-1,-1,-1,-1,-1,73,117,217,928,862,-1,-1,780,699,-1,-1,728,-1,323,179,225,604,-1,-1,-1,-1,-1,-1,262,0,-1,11.4,623,-1,524,-1,-1,85.5,192,754,-1,875,-1,-1,296,354,-1,521,870,-1
Albuquerque NM,-1,-1,419,882,792,449,-1,-1,-1,-1,-1,-1,935,-1,-1,981,595,-1,-1,-1,-1,-1,-1,-1,-1,789,-1,892,576,-1,-1,0,-1,-1,-1,-1,543,-1,-1,-1,-1,-1,-1,883,598,-1,-1,-1,-1,-1,548
New York City NY,961,-1,-1,-1,-1,-1,62.4,126,226,937,871,-1,-1,790,708,-1,-1,737,-1,316,187,217,614,-1,-1,-1,-1,-1,-1,254,10.3,-1,0,631,-1,533,-1,-1,94.3,181,763,-1,884,-1,-1,300,363,-1,530,880,-1
Charlotte NC,391,-1,-1,756,-1,-1,686,508,399,383,244,-1,-1,754,575,-1,-1,474,714,937,445,838,629,-1,625,959,-1,-1,-1,875,617,-1,625,0,-1,426,-1,-1,539,805,209,-1,408,-1,-1,915,342,-1,265,851,-1
Fargo ND,-1,-1,-1,-1,-1,861,-1,-1,-1,-1,-1,-1,-1,643,826,478,722,941,-1,-1,-1,-1,929,235,-1,602,609,420,-1,-1,-1,-1,-1,-1,0,999,876,-1,-1,-1,-1,243,-1,-1,-1,-1,-1,-1,-1,571,756
Columbus OH,570,-1,-1,725,-1,-1,622,474,397,806,567,-1,-1,355,176,649,851,206,912,875,404,776,203,766,792,657,-1,782,-1,814,525,-1,536,425,1000,0,915,-1,469,741,632,913,380,-1,-1,692,582,-1,161,453,-1
Oklahoma City OK,703,-1,960,340,-1,678,-1,-1,-1,-1,850,-1,-1,794,740,542,161,757,709,-1,-1,-1,-1,786,609,349,-1,455,-1,-1,-1,544,-1,-1,876,915,0,-1,-1,-1,-1,637,678,445,-1,-1,-1,-1,-1,870,768
Portland OR,-1,-1,-1,-1,963,-1,-1,-1,-1,-1,-1,-1,430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,890,-1,970,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,766,-1,-1,174,-1,-1,-1
